clae6,letra,clae6_desc,clae2_desc,letra_desc
012510,A,Cultivo de caña de azúcar,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016130,A,"Servicios de contratistas de mano de obra agrícola (Incluye la poda de árboles, transplante, cosecha manual de citrus, algodón, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011341,A,"Cultivo de legumbres frescas (Incluye arveja, chaucha, haba, lupino, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012320,A,"Cultivo de frutas de carozo (Incluye cereza, ciruela, damasco, durazno, pelón, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014810,A,"Cría de aves de corral, excepto para la producción de huevos","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011310,A,"Cultivo de papa, batata y mandioca","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016112,A,"Servicios de pulverización, desinfección y fumigación terrestre","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011111,A,Cultivo de arroz,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012410,A,"Cultivo de frutas tropicales y subtropicales (Incluye banana, ananá, mamón, palta, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011321,A,Cultivo de tomate,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011112,A,Cultivo de trigo,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016190,A,"Servicios de apoyo agrícolas n.c.p (Incluye  explotación de sistemas de riego, injertos de plantas, construcción y plantación de almácigos, alquiler de colmenas, etc.), (No incluye mantenimiento de jardines, parques y cementerios: actividad 813000, planificación y diseño paisajista: actividad 711009)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016119,A,"Servicios de maquinaria agrícola n.c.p., excepto los de cosecha mecánica (Incluye clasificado y/o tamañado, rastrillado, roturación de terreno, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011119,A,"Cultivo de cereales n.c.p., excepto los de uso forrajero (Incluye alforfón, cebada cervecera, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011291,A,Cultivo de girasol,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
017020,A,Servicios de apoyo para la caza,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
013012,A,"Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras ","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014710,A,Producción de lana y pelo de oveja y cabra (cruda),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016230,A,Servicios de esquila de animales,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
013013,A,"Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árboles frutales ","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014610,A,Producción de leche bovina (Incluye la cría para la producción de leche de vaca y la producción de leche bubalina),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011129,A,Cultivo de cereales de uso forrajero n.c.p.,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014115,A,Engorde en corrales (Feed-Lot),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016120,A,"Servicios de cosecha mecánica (Incluye la cosecha mecánica de granos, caña de azúcar, algodón, forrajes, el enfardado, enrollado, etc.) ","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
