clae6,letra,clae6_desc,clae2_desc,letra_desc
107309,C,"Elaboración de productos de confitería n.c.p. (Incluye alfajores, caramelos, frutas confitadas, pastillas, gomas de mascar, etc.)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101013,C,Saladero y peladero de cueros de ganado bovino,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
106110,C,Molienda de trigo,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107200,C,Elaboración de azúcar,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
104011,C,Elaboración de aceites y grasas vegetales  sin refinar,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
106120,C,Preparación de arroz,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
102001,C,"Elaboración de pescados de mar, crustáceos y  productos marinos ",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107999,C,"Elaboración de productos alimenticios n.c.p. (Incluye la elaboración de polvos para preparar postres y gelatinas, levadura, productos para copetín, sopas, sal de mesa, mayonesa, mostaza, etc.)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107992,C,Elaboración de vinagres,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
106139,C,"Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmeda de maíz",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101091,C,Fabricación de aceites y grasas de origen animal,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103011,C,"Preparación de conservas de frutas, hortalizas y legumbres",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
106200,C,"Elaboración de almidones y productos derivados del almidón, molienda húmeda de maíz (Incluye la elaboración de glucosa y gluten)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
105020,C,Elaboración de quesos (Incluye la producción de suero),Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
105030,C,Elaboración industrial de helados,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103012,C,"Elaboración y envasado de dulces, mermeladas y jaleas",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107930,C,Elaboración de yerba mate,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103030,C,"Elaboración de frutas, hortalizas y legumbres congeladas",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
105010,C,"Elaboración de leches y productos lácteos deshidratados (Incluye la obtención de quesos, helados, manteca, postres lácteos, yogur y otros productos lácteos fermentados o coagulados cuando son obtenidos en forma integrada con la producción de leche)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
110300,C,"Elaboración de cerveza, bebidas malteadas y malta",Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110492,C,"Elaboración de bebidas no alcohólicas n.c.p. (Incluye los jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50%), (No incluye a los jugos naturales y sus concentrados, de frutas, hortalizas y legumbres - actividad 103020)",Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110412,C,Fabricación de sodas,Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110420,C,"Elaboración de bebidas gaseosas, excepto soda",Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110211,C,Elaboración de mosto,Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110212,C,Elaboración de vinos (Incluye el fraccionamiento),Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110100,C,"Destilación, rectificación y mezcla de bebidas espiritosas",Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110290,C,Elaboración de sidra y otras bebidas alcohólicas fermentadas,Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110491,C,Elaboración de hielo,Elaboración de bebidas,INDUSTRIA MANUFACTURERA
110411,C,Embotellado de aguas naturales y minerales,Elaboración de bebidas,INDUSTRIA MANUFACTURERA
120099,C,Elaboración de productos de tabaco n.c.p.,Elaboración de productos de tabaco,INDUSTRIA MANUFACTURERA
120091,C,Elaboración de cigarrillos,Elaboración de productos de tabaco,INDUSTRIA MANUFACTURERA
120010,C,Preparación de hojas de tabaco,Elaboración de productos de tabaco,INDUSTRIA MANUFACTURERA
139300,C,Fabricación de tapices y alfombras,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131110,C,"Preparación de fibras textiles vegetales, desmotado de algodón (Incluye la preparación de fibras de yute, ramio, cáñamo y lino)",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139204,C,Fabricación de bolsas de materiales textiles para productos a granel,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139209,C,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir ",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139203,C,Fabricación de artículos de lona y sucedáneos de lona,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131202,C,"Fabricación de tejidos (telas) planos de algodón y sus mezclas, incluye hilanderías y tejedurías integradas",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139201,C,"Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc.",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131300,C,Acabado de productos textiles,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131131,C,"Fabricación de hilados textiles de lana, pelos y sus mezclas",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131120,C,Preparación de fibras animales de uso textil,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131139,C,"Fabricación de hilados textiles n.c.p., excepto de lana  y de algodón",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139202,C,Fabricación de ropa de cama y mantelería,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139900,C,Fabricación de productos textiles n.c.p.,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131201,C,"Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejedurías integradas",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139100,C,Fabricación de tejidos de punto,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
139400,C,"Fabricación de cuerdas, cordeles, bramantes y redes",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131209,C,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas",Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
131132,C,Fabricación de hilados textiles de algodón y sus mezclas,Elaboración de productos textiles,INDUSTRIA MANUFACTURERA
143020,C,Fabricación de prendas de vestir y artículos similares de punto,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141199,C,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
149000,C,"Servicios industriales para la industria confeccionista (Incluye procesos de planchado y acondicionamiento de prendas: teñido, gastado a la piedra (stone wash), impermeabilizado, lavaderos y secaderos industriales, etc.) ",Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141140,C,Confección de prendas deportivas,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
142000,C,"Terminación y teñido de pieles, fabricación de artículos de piel ",Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141201,C,Fabricación de accesorios de vestir de cuero,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
143010,C,Fabricación de medias,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141110,C,"Confección de ropa interior, prendas para dormir y para la playa",Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141120,C,"Confección de ropa de trabajo, uniformes y guardapolvos ",Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141130,C,Confección de prendas de vestir para bebés y niños,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141202,C,Confección de prendas de vestir de cuero,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
141191,C,Fabricación de accesorios de vestir excepto de cuero,Elaboración de prendas de vestir,INDUSTRIA MANUFACTURERA
152021,C,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico ",Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
152011,C,"Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico ",Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
152031,C,Fabricación de calzado deportivo,Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
151100,C,Curtido y terminación de cueros,Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
152040,C,Fabricación de partes de calzado,Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
151200,C,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p.",Elaboración de productos de cuero y calzado,INDUSTRIA MANUFACTURERA
161002,C,Aserrado y cepillado de madera implantada,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162903,C,Fabricación de productos de corcho,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162100,C,"Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partículas y tableros y paneles n.c.p. (Incluye la fabricación de madera terciada y  machimbre)",Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162202,C,Fabricación de viviendas prefabricadas de madera,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162909,C,"Fabricación de productos de madera n.c.p, fabricación de artículos de paja y materiales trenzables (Incluye enmarcado de cuadros, carpintería cuando no explicita especialidad)",Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162901,C,Fabricación de ataúdes,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
161001,C,Aserrado y cepillado de madera  nativa,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162902,C,Fabricación de artículos de madera en tornerías,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162300,C,Fabricación de recipientes de madera,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
162201,C,Fabricación de aberturas y estructuras de madera para la construcción,Elaboración de productos de madera,INDUSTRIA MANUFACTURERA
170201,C,Fabricación de papel ondulado y envases de papel,Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
170102,C,Fabricación de papel y cartón excepto envases,Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
170101,C,Fabricación de pasta de madera,Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
170202,C,Fabricación de cartón ondulado y envases de cartón,Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
170910,C,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario,Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
170990,C,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija:  239900),Elaboración de productos de papel,INDUSTRIA MANUFACTURERA
182000,C,Reproducción de grabaciones,Imprentas y editoriales,INDUSTRIA MANUFACTURERA
181109,C,"Impresión n.c.p., excepto de diarios y revistas",Imprentas y editoriales,INDUSTRIA MANUFACTURERA
181200,C,Servicios relacionados con la impresión,Imprentas y editoriales,INDUSTRIA MANUFACTURERA
181101,C,Impresión de diarios y revistas,Imprentas y editoriales,INDUSTRIA MANUFACTURERA
192000,C,Fabricación de productos de la refinación del petróleo,Fabricación de productos de refinación de petróleo,INDUSTRIA MANUFACTURERA
191000,C,Fabricación de productos de hornos de coque,Fabricación de productos de refinación de petróleo,INDUSTRIA MANUFACTURERA
201300,C,Fabricación de abonos y compuestos de nitrógeno,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201401,C,Fabricación de resinas y cauchos sintéticos,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202101,C,"Fabricación de insecticidas, plaguicidas y  productos químicos de uso agropecuario ",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
203000,C,Fabricación de fibras manufacturadas,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
204000,C,Servicios industriales para la fabricación de sustancias y productos químicos,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201190,C,"Fabricación de materias químicas orgánicas básicas n.c.p. (Incluye la fabricación de alcoholes excepto el etílico,  sustancias químicas para la elaboración de sustancias plásticas, carbón vegetal, etc.)",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202200,C,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201120,C,Fabricación de curtientes naturales y sintéticos,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201140,C,"Fabricación de combustible nuclear, sustancias y materiales radiactivos",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202312,C,Fabricación de jabones y detergentes,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202908,C,"Fabricación de productos químicos n.c.p. (Incluye la producción de aceites esenciales, tintas excepto para imprenta, etc.)",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202311,C,"Fabricación de preparados para limpieza, pulido y saneamiento ",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202320,C,"Fabricación de cosméticos, perfumes y  productos de higiene y tocador",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201130,C,"Fabricación de materias colorantes básicas, excepto pigmentos preparados",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201210,C,Fabricación de alcohol,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201110,C,Fabricación de gases industriales y medicinales comprimidos o licuados,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201220,C,Fabricación de biocombustibles excepto alcohol,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201409,C,Fabricación de materias plásticas en formas primarias n.c.p.,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202907,C,"Fabricación de colas, adhesivos, aprestos y cementos excepto los odontológicos obtenidos de sustancias minerales y vegetales",Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
202906,C,Fabricación de explosivos y productos de pirotecnia,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
201180,C,Fabricación de materias químicas inorgánicas básicas n.c.p.,Fabricación de sustancias químicas,INDUSTRIA MANUFACTURERA
210030,C,Fabricación de sustancias químicas para la elaboración de medicamentos,Elaboracion de productos farmacéuticos,INDUSTRIA MANUFACTURERA
210020,C,Fabricación de medicamentos de uso veterinario,Elaboracion de productos farmacéuticos,INDUSTRIA MANUFACTURERA
210010,C,Fabricación de medicamentos de uso humano y productos farmacéuticos,Elaboracion de productos farmacéuticos,INDUSTRIA MANUFACTURERA
210090,C,Fabricación de productos de laboratorio y productos botánicos de uso farmaceútico n.c.p.,Elaboracion de productos farmacéuticos,INDUSTRIA MANUFACTURERA
222010,C,Fabricación de envases plásticos,Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
221120,C,Recauchutado y renovación de cubiertas,Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
221110,C,Fabricación de cubiertas y cámaras,Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
222090,C,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
221901,C,Fabricación de  autopartes de caucho excepto cámaras y cubiertas,Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
221909,C,Fabricación  de productos de caucho n.c.p.,Fabricación de productos de caucho y vidrio,INDUSTRIA MANUFACTURERA
239201,C,Fabricación de ladrillos,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239100,C,Fabricación de productos de cerámica refractaria,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239593,C,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos",Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239422,C,Elaboración de cal,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239421,C,Elaboración de  yeso,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239592,C,Fabricación de premoldeadas para la construcción,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239900,C,"Fabricación de productos minerales no metálicos n.c.p. (Incluye la fabricación de abrasivos, lijas, membranas asfálticas, etc.)",Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239399,C,Fabricación de artículos de cerámica no refractaria para uso no estructural n.c.p.,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239310,C,Fabricación de artículos sanitarios de cerámica,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239209,C,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural n.c.p.,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239391,C,Fabricación de objetos cerámicos para uso doméstico excepto artefactos sanitarios,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
231090,C,Fabricación de productos de vidrio n.c.p.,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239600,C,"Corte, tallado y acabado de la piedra (Incluye mármoles y granitos, etc.)",Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239510,C,Fabricación de mosaicos,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239591,C,Elaboración de hormigón,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239202,C,Fabricación de revestimientos cerámicos,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
239410,C,Elaboración de cemento,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
231010,C,Fabricación de envases de vidrio,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
231020,C,Fabricación y elaboración de vidrio plano,Fabricación de productos de vidrio y otros minerales no metálicos,INDUSTRIA MANUFACTURERA
243100,C,Fundición de hierro y acero,Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
241001,C,"Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadores independientes",Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
243200,C,Fundición de metales no ferrosos,Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
241009,C,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
242090,C,Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sus semielaborados,Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
242010,C,Elaboración de aluminio primario y semielaborados de aluminio,Fabricación de metales comunes,INDUSTRIA MANUFACTURERA
259910,C,Fabricación de envases metálicos,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259302,C,Fabricación de artículos de cuchillería y utensillos de mesa y de cocina,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259301,C,Fabricación de herramientas manuales y sus accesorios,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259991,C,Fabricación de tejidos de alambre,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
251200,C,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)","Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
251300,C,Fabricación de generadores de vapor,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259992,C,Fabricación de cajas de seguridad,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
251101,C,Fabricación de carpintería metálica,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
251102,C,Fabricación de productos metálicos para uso estructural,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259993,C,Fabricación de productos metálicos de tornería y/o matricería,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259200,C,Tratamiento y revestimiento de metales y trabajos de metales en general,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259100,C,"Forjado, prensado, estampado y laminado de metales, pulvimetalurgia","Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259309,C,"Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p.","Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
252000,C,Fabricación de armas y municiones,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
259999,C,Fabricación de productos elaborados de metal n.c.p.,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",INDUSTRIA MANUFACTURERA
261000,C,Fabricación de componentes electrónicos,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
262000,C,Fabricación de equipos y productos informáticos,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
265200,C,Fabricación de relojes,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
263000,C,Fabricación  de equipos de comunicaciones y transmisores de radio y televisión,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
268000,C,"Fabricación de soportes ópticos y magnéticos (Incluye CD, disquetes, cintas magnéticas, tarjetas magnetizadas, etc.)","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
265102,C,Fabricación de equipo de control de procesos industriales,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
266010,C,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmente electrónicos y/o eléctricos (Incluye equipos de laboratorio, esterilizadores, paneles para observación de radiografías, tornos, etc.)","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
266090,C,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p. (Incluye prótesis, aparatos ortopédicos, materiales para fracturas, etc.)","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
267001,C,Fabricación de equipamiento e instrumentos ópticos y sus accesorios,"Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
264000,C,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
265101,C,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales ","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
267002,C,"Fabricación de aparatos y accesorios para fotografía excepto películas, placas y papeles sensibles","Fabricación de productos de informática, de electrónica y de óptica",INDUSTRIA MANUFACTURERA
271020,C,Fabricación de aparatos de distribución y control de la energía eléctrica,Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
273190,C,Fabricación de hilos y cables aislados n.c.p.,Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
273110,C,Fabricación de cables de fibra óptica,Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
275092,C,"Fabricación de planchas, calefactores, hornos eléctricos, tostadoras y otros aparatos generadores de calor",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
275099,C,"Fabricación de aparatos de uso doméstico n.c.p. (Incluye enceradoras, pulidoras, batidoras, licuadoras y similares)",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
274000,C,Fabricación de lámparas eléctricas y equipo de iluminación,Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
275020,C,"Fabricación de heladeras, freezers, lavarropas y secarropas",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
271010,C,"Fabricación de motores, generadores y transformadores eléctricos",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
272000,C,"Fabricación de acumuladores, pilas y baterías primarias",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
279000,C,Fabricación  de equipo eléctrico n.c.p.,Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
275010,C,"Fabricación de cocinas, calefones, estufas y calefactores no eléctricos",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
275091,C,"Fabricación de ventiladores, extractores de aire, aspiradoras y similares",Fabricación de equipo eléctrico,INDUSTRIA MANUFACTURERA
281301,C,"Fabricación de compresores, grifos y válvulas",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281700,C,"Fabricación de maquinaria y equipo de oficina, excepto equipo informático",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282130,C,Fabricación de implementos de uso agropecuario,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282200,C,Fabricación de máquinas herramienta,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281900,C,"Fabricación de  maquinaria y equipo de uso general n.c.p. (Incluye la fabricación de equipos de aire acondicionado, matafuegos, etc.)",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281500,C,"Fabricación de hornos, hogares y quemadores",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282909,C,Fabricación de maquinaria y equipo de uso especial n.c.p.,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282500,C,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282300,C,Fabricación de maquinaria metalúrgica,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282120,C,Fabricación de maquinaria y equipo de uso agropecuario y forestal,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282400,C,"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción (Incluye la fabricación de máquinas y equipos viales, equipos para la extracción de petróleo y gas, etc.)",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282901,C,Fabricación de maquinaria para la industria del papel y las artes gráficas,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281100,C,"Fabricación  de  motores  y  turbinas,  excepto  motores  para aeronaves, vehículos automotores   y motocicletas",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281201,C,Fabricación de bombas,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281400,C,"Fabricación de cojinetes, engranajes, trenes de engranaje y piezas de transmisión",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282110,C,Fabricación de tractores,Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
281600,C,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
282600,C,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",Fabricación de maquinarias,INDUSTRIA MANUFACTURERA
293090,C,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.","Fabricación de vehículos automotores, remolques y semirremolques",INDUSTRIA MANUFACTURERA
293011,C,Rectificación de motores,"Fabricación de vehículos automotores, remolques y semirremolques",INDUSTRIA MANUFACTURERA
291000,C,Fabricación de vehículos automotores (Incluye la fabricación de motores para automotores),"Fabricación de vehículos automotores, remolques y semirremolques",INDUSTRIA MANUFACTURERA
292000,C,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques","Fabricación de vehículos automotores, remolques y semirremolques",INDUSTRIA MANUFACTURERA
