Cueanexo,provincia,Departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET
060585300,BUENOS AIRES,GENERAL PUEYRREDON,0,1,0,0,0,0,0
060585400,BUENOS AIRES,GENERAL PUEYRREDON,1,1,0,0,0,0,0
060585500,BUENOS AIRES,GENERAL PUEYRREDON,1,1,0,0,0,0,0
060585700,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,0,0,0
060585800,BUENOS AIRES,JOSE C. PAZ,0,0,0,0,0,0,0
060586000,BUENOS AIRES,JOSE C. PAZ,0,1,1,0,0,0,0
060586100,BUENOS AIRES,TRES DE FEBRERO,0,1,0,0,0,0,0
060586200,BUENOS AIRES,TRES DE FEBRERO,0,1,1,0,0,0,0
060586300,BUENOS AIRES,TRES DE FEBRERO,0,0,1,0,0,0,0
060586400,BUENOS AIRES,JOSE C. PAZ,0,0,1,0,0,0,0
060586500,BUENOS AIRES,GENERAL PINTO,0,0,0,0,0,0,0
060586501,BUENOS AIRES,GENERAL PINTO,0,0,0,0,0,0,0
060586600,BUENOS AIRES,FLORENTINO AMEGHINO,0,0,0,0,0,0,0
060586700,BUENOS AIRES,GENERAL PINTO,1,1,0,0,0,0,0
060586800,BUENOS AIRES,GENERAL PINTO,0,0,0,1,0,0,0
060586900,BUENOS AIRES,GENERAL LAS HERAS,0,0,1,0,0,0,0
060587000,BUENOS AIRES,GENERAL LAS HERAS,0,0,1,0,0,0,0
060587100,BUENOS AIRES,NECOCHEA,0,0,0,0,0,1,0
060587200,BUENOS AIRES,NECOCHEA,0,0,0,0,0,0,0
060587300,BUENOS AIRES,NECOCHEA,0,0,1,0,0,0,0
060587400,BUENOS AIRES,NECOCHEA,0,0,0,0,0,0,0
060587401,BUENOS AIRES,NECOCHEA,0,0,0,0,0,0,0
060587500,BUENOS AIRES,NECOCHEA,0,0,1,0,0,0,0
060587600,BUENOS AIRES,NECOCHEA,0,1,1,0,0,0,0
060587800,BUENOS AIRES,NECOCHEA,0,0,0,1,0,0,0
060587900,BUENOS AIRES,NECOCHEA,1,1,0,0,0,0,0
060588000,BUENOS AIRES,NECOCHEA,0,0,1,0,0,0,0
060588100,BUENOS AIRES,NECOCHEA,0,1,0,0,0,0,0
060588200,BUENOS AIRES,NECOCHEA,0,0,1,0,0,0,0
060588300,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060588400,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060588500,BUENOS AIRES,MORON,0,0,0,0,0,0,0
060588700,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060588800,BUENOS AIRES,ITUZAINGO,0,1,0,0,0,0,0
060588900,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060589000,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060589100,BUENOS AIRES,ITUZAINGO,1,1,0,0,0,0,0
060589200,BUENOS AIRES,CAMPANA,1,1,0,0,0,0,0
060589400,BUENOS AIRES,CAMPANA,0,0,0,1,0,0,0
060589500,BUENOS AIRES,CAMPANA,1,1,0,0,0,0,0
060589600,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060589700,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060589800,BUENOS AIRES,CAMPANA,1,1,0,0,0,0,0
060589900,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060590000,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060590100,BUENOS AIRES,CAMPANA,1,1,1,0,0,0,0
060590200,BUENOS AIRES,CAMPANA,0,1,0,0,0,0,0
060590300,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060590301,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060590302,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060590303,BUENOS AIRES,CAMPANA,0,0,0,0,0,0,0
060590400,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060590500,BUENOS AIRES,CAMPANA,0,1,0,0,0,0,0
060590600,BUENOS AIRES,CAMPANA,0,0,0,0,0,1,0
060590700,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060590800,BUENOS AIRES,CAMPANA,1,1,0,0,0,0,0
060590900,BUENOS AIRES,ZARATE,0,0,0,1,0,0,0
060591000,BUENOS AIRES,ZARATE,0,0,1,0,0,0,0
060591100,BUENOS AIRES,ZARATE,0,0,1,0,0,0,0
060591200,BUENOS AIRES,ZARATE,0,0,0,0,0,0,0
060591201,BUENOS AIRES,ZARATE,0,0,0,0,0,0,0
060591300,BUENOS AIRES,CAMPANA,0,0,0,0,0,1,0
060591400,BUENOS AIRES,ZARATE,0,0,0,0,0,0,0
060591500,BUENOS AIRES,ZARATE,0,1,0,0,0,0,0
060591600,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060591700,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060591800,BUENOS AIRES,CAMPANA,0,0,1,0,0,0,0
060591900,BUENOS AIRES,GENERAL PUEYRREDON,0,0,1,0,0,0,0
060592000,BUENOS AIRES,GENERAL PUEYRREDON,0,1,0,0,0,0,0
060592100,BUENOS AIRES,GENERAL PUEYRREDON,0,0,1,0,0,0,0
060592200,BUENOS AIRES,GENERAL PUEYRREDON,0,0,1,0,0,0,0
060592400,BUENOS AIRES,GENERAL PUEYRREDON,1,1,0,0,0,0,0
060592500,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,0,0,0
060592600,BUENOS AIRES,GENERAL PUEYRREDON,0,1,0,0,0,0,0
060592700,BUENOS AIRES,SAN MIGUEL,0,0,1,0,0,0,0
060592800,BUENOS AIRES,SAN MIGUEL,0,1,1,0,0,0,0
060592900,BUENOS AIRES,SAN MIGUEL,0,0,1,0,0,0,0
060593300,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,1,0,0
060593400,BUENOS AIRES,CORONEL SUAREZ,0,0,0,1,1,0,0
060593500,BUENOS AIRES,CORONEL SUAREZ,0,0,0,0,0,0,0
060593600,BUENOS AIRES,CORONEL SUAREZ,0,1,0,0,0,0,0
060593700,BUENOS AIRES,CORONEL SUAREZ,1,1,0,0,0,0,0
060593800,BUENOS AIRES,CORONEL SUAREZ,0,0,1,0,0,0,0
060593900,BUENOS AIRES,CORONEL SUAREZ,0,0,1,0,0,0,0
060594000,BUENOS AIRES,CORONEL SUAREZ,0,0,1,0,0,0,0
060594100,BUENOS AIRES,PATAGONES,0,0,0,0,0,1,0
060594200,BUENOS AIRES,PATAGONES,0,1,0,0,0,0,0
060594300,BUENOS AIRES,PATAGONES,0,1,0,0,0,0,0
060594400,BUENOS AIRES,PATAGONES,0,0,0,1,0,0,0
060594500,BUENOS AIRES,SAN PEDRO,0,0,1,0,0,0,0
060594600,BUENOS AIRES,SAN PEDRO,0,0,0,0,0,0,0
060594700,BUENOS AIRES,SAN PEDRO,0,0,0,1,1,0,0
060594800,BUENOS AIRES,SAN PEDRO,0,0,1,0,0,0,0
060594900,BUENOS AIRES,SAN PEDRO,0,0,1,0,0,0,0
060595000,BUENOS AIRES,SAN PEDRO,0,0,0,1,0,0,0
060595100,BUENOS AIRES,SAN PEDRO,0,0,1,0,0,0,0
060595200,BUENOS AIRES,SAN PEDRO,0,0,0,0,0,1,1
060595300,BUENOS AIRES,SAN PEDRO,0,0,0,0,0,0,0
060595400,BUENOS AIRES,SAN PEDRO,0,1,0,0,0,0,0
060595500,BUENOS AIRES,CHASCOMUS,0,0,0,1,0,0,0
060595600,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,1,0
060595700,BUENOS AIRES,SAAVEDRA,1,1,0,0,0,0,0
060595800,BUENOS AIRES,SAAVEDRA,0,0,0,1,0,0,0
060595900,BUENOS AIRES,SAAVEDRA,0,0,0,1,1,0,0
060596000,BUENOS AIRES,SAAVEDRA,1,1,0,0,0,0,0
060596200,BUENOS AIRES,SAAVEDRA,0,0,1,0,0,0,0
060596400,BUENOS AIRES,CAMPANA,0,1,0,0,0,0,0
060596500,BUENOS AIRES,CORONEL SUAREZ,0,0,0,0,0,1,0
060596501,BUENOS AIRES,CORONEL SUAREZ,0,0,0,0,0,1,0
060596600,BUENOS AIRES,CORONEL SUAREZ,0,0,0,1,0,0,0
060596700,BUENOS AIRES,CORONEL SUAREZ,0,0,0,1,0,0,0
060596800,BUENOS AIRES,CORONEL SUAREZ,0,1,1,0,0,0,0
060596900,BUENOS AIRES,CORONEL SUAREZ,0,1,1,0,0,0,0
060597000,BUENOS AIRES,CORONEL SUAREZ,1,1,0,0,0,0,0
060597100,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,1,0,0
060597101,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,1,0,0
060597300,BUENOS AIRES,GENERAL PUEYRREDON,0,0,1,0,0,0,0
060597400,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,0,0,1,0
060597700,BUENOS AIRES,GENERAL PUEYRREDON,0,1,1,0,0,0,0
060597800,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060597900,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060598000,BUENOS AIRES,TRES ARROYOS,0,0,0,1,1,0,0
060598100,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060598200,BUENOS AIRES,TRES ARROYOS,0,1,1,0,0,0,0
060598300,BUENOS AIRES,TRES ARROYOS,0,0,0,1,1,0,0
060598400,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060598500,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060598600,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060598900,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060599000,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060599200,BUENOS AIRES,TRES ARROYOS,0,1,1,0,0,0,0
060599300,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,1,0
060599400,BUENOS AIRES,CHASCOMUS,1,1,0,0,0,0,0
060599500,BUENOS AIRES,CORONEL SUAREZ,0,0,1,0,0,0,0
060599600,BUENOS AIRES,CORONEL SUAREZ,0,0,1,0,0,0,0
060599700,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060599800,BUENOS AIRES,GENERAL PUEYRREDON,0,0,1,0,0,0,0
060599900,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060600000,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060600100,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060600400,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060600500,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060600600,BUENOS AIRES,SAN FERNANDO,0,0,0,1,0,0,0
060600700,BUENOS AIRES,SAN FERNANDO,1,1,0,0,0,0,0
060600900,BUENOS AIRES,SAN FERNANDO,0,0,1,0,0,0,0
060601000,BUENOS AIRES,GENERAL LA MADRID,0,0,1,0,0,0,0
060601100,BUENOS AIRES,GENERAL LA MADRID,0,0,1,0,0,0,0
060601200,BUENOS AIRES,GENERAL LA MADRID,0,0,1,0,0,0,0
060601300,BUENOS AIRES,GENERAL LA MADRID,0,0,1,0,0,0,0
060601400,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060601500,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060601600,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060601800,BUENOS AIRES,TRES ARROYOS,0,1,0,0,0,0,0
060601900,BUENOS AIRES,TRES ARROYOS,1,1,0,0,0,0,0
060602100,BUENOS AIRES,TRES ARROYOS,0,0,0,1,0,0,0
060602200,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060602300,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060602400,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060602500,BUENOS AIRES,TRES ARROYOS,0,0,1,0,0,0,0
060602600,BUENOS AIRES,VILLARINO,0,0,0,1,0,0,0
060602700,BUENOS AIRES,VILLARINO,0,0,1,0,0,0,0
060602800,BUENOS AIRES,VILLARINO,0,0,1,0,0,0,0
060602900,BUENOS AIRES,VILLARINO,0,0,1,0,0,0,0
060603000,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060603100,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060603200,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060603300,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,1,0
060603400,BUENOS AIRES,CHASCOMUS,0,1,0,0,0,0,0
060603500,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,0,0
060603501,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,0,0
060603502,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,0,0
060603503,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,0,0
060603600,BUENOS AIRES,CHASCOMUS,0,1,0,0,0,0,0
060603700,BUENOS AIRES,CHASCOMUS,0,0,0,1,0,0,0
060603800,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060603900,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060604000,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060604100,BUENOS AIRES,TRES ARROYOS,0,0,0,0,0,1,0
060604200,BUENOS AIRES,TRES ARROYOS,0,0,0,0,0,1,0
060604300,BUENOS AIRES,CHASCOMUS,0,0,0,1,0,0,0
060604400,BUENOS AIRES,CHASCOMUS,0,1,0,0,0,0,0
060604500,BUENOS AIRES,CHASCOMUS,0,0,0,0,0,0,0
060604600,BUENOS AIRES,CHASCOMUS,0,1,0,0,0,0,0
060604700,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060604800,BUENOS AIRES,GENERAL PUEYRREDON,0,1,1,0,0,0,0
060605100,BUENOS AIRES,VILLARINO,0,0,1,0,0,0,0
060605200,BUENOS AIRES,VILLARINO,0,0,0,0,0,0,0
060605300,BUENOS AIRES,TRES ARROYOS,0,1,0,0,0,0,0
060605400,BUENOS AIRES,TRES ARROYOS,1,1,0,0,0,0,0
060605500,BUENOS AIRES,TRES ARROYOS,1,1,0,0,0,0,0
060605600,BUENOS AIRES,TRES ARROYOS,1,1,0,0,0,0,0
060605700,BUENOS AIRES,TRES ARROYOS,0,1,0,0,0,0,0
060605800,BUENOS AIRES,TRES ARROYOS,1,1,0,0,0,0,0
060605900,BUENOS AIRES,TRES ARROYOS,0,1,0,0,0,0,0
060606000,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060606100,BUENOS AIRES,CHASCOMUS,0,0,1,0,0,0,0
060606300,BUENOS AIRES,TRES ARROYOS,0,0,0,0,0,1,0
060606500,BUENOS AIRES,JOSE C. PAZ,0,0,1,0,0,0,0
060606600,BUENOS AIRES,JOSE C. PAZ,0,0,0,0,0,0,0
060606700,BUENOS AIRES,JOSE C. PAZ,0,0,0,1,0,0,0
060606800,BUENOS AIRES,JOSE C. PAZ,0,1,0,0,0,0,0
060606900,BUENOS AIRES,JOSE C. PAZ,0,0,1,0,0,0,0
060607100,BUENOS AIRES,JOSE C. PAZ,0,0,1,0,0,0,0
060607200,BUENOS AIRES,JOSE C. PAZ,0,0,1,0,0,0,0
060607300,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060607400,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,1,0,0,0
060607500,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060607700,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060607800,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060607900,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060608000,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,1,0,0,0
060608100,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060608200,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060608300,BUENOS AIRES,GENERAL SAN MARTIN,1,1,0,0,0,0,0
060608400,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060608500,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,0,0,1,0
060608600,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060608700,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060608900,BUENOS AIRES,MALVINAS ARGENTINAS,0,0,1,0,0,0,0
060609000,BUENOS AIRES,MALVINAS ARGENTINAS,0,1,0,0,0,0,0
060609100,BUENOS AIRES,MALVINAS ARGENTINAS,0,0,0,1,0,0,0
060609200,BUENOS AIRES,MALVINAS ARGENTINAS,0,0,1,0,0,0,0
060609300,BUENOS AIRES,MERCEDES,0,0,0,0,0,1,0
060609400,BUENOS AIRES,MERCEDES,0,0,0,1,0,0,0
060609500,BUENOS AIRES,MERCEDES,0,0,0,1,0,0,0
060609700,BUENOS AIRES,MONTE,0,0,0,1,1,0,0
060609800,BUENOS AIRES,MONTE,0,0,1,0,0,0,0
060609900,BUENOS AIRES,MONTE,0,0,1,0,0,0,0
060610000,BUENOS AIRES,DOLORES,0,1,0,0,0,0,0
060610100,BUENOS AIRES,DOLORES,0,0,0,0,0,1,1
060610200,BUENOS AIRES,MERCEDES,0,0,0,1,1,0,0
060610300,BUENOS AIRES,ZARATE,0,0,0,0,0,1,0
060610400,BUENOS AIRES,ZARATE,0,0,0,0,0,1,1
060610500,BUENOS AIRES,ZARATE,0,0,0,1,1,0,0
060610600,BUENOS AIRES,PRESIDENTE PERON,0,0,1,0,0,0,0
060610700,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060610800,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060610900,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060611000,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060611100,BUENOS AIRES,SAN VICENTE,1,1,0,0,0,0,0
060611200,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060611201,BUENOS AIRES,SAN VICENTE,0,0,1,0,0,0,0
060611300,BUENOS AIRES,SAN VICENTE,0,0,0,1,0,0,0
060611400,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060611500,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,0,0,0,0
060611600,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060611700,BUENOS AIRES,MORON,0,0,0,0,0,1,1
060611800,BUENOS AIRES,MORON,1,1,0,0,0,0,0
060611900,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060612000,BUENOS AIRES,MORON,0,0,0,1,1,0,0
060612100,BUENOS AIRES,MORON,0,0,0,0,0,1,0
060612200,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060612300,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,0,0,1,0
060612400,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,1,0,0,0
060612500,BUENOS AIRES,GENERAL SAN MARTIN,1,1,0,0,0,0,0
060612600,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060612700,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,1,0,0,0
060612800,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,0,0,1,0
060612900,BUENOS AIRES,GENERAL SAN MARTIN,0,1,0,0,0,0,0
060613000,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060613100,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,0,0,1,0
060613200,BUENOS AIRES,GENERAL SAN MARTIN,0,0,1,0,0,0,0
060613300,BUENOS AIRES,GENERAL SAN MARTIN,0,0,0,1,0,0,0
060613400,BUENOS AIRES,BALCARCE,0,0,0,0,0,1,0
060613500,BUENOS AIRES,BALCARCE,0,1,1,0,0,0,0
060613600,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060613700,BUENOS AIRES,BALCARCE,1,1,0,0,0,0,0
060613800,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060613900,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060613901,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060613902,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060614000,BUENOS AIRES,BALCARCE,0,1,0,0,0,0,0
060614100,BUENOS AIRES,BALCARCE,1,1,0,0,0,0,0
060614200,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060614300,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060614301,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060614302,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060614303,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060614400,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060614500,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060614600,BUENOS AIRES,MORENO,0,1,0,0,0,0,0
060614800,BUENOS AIRES,MORENO,0,0,0,1,0,0,0
060614900,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060615000,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060615100,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060615400,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060615500,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060615600,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060615700,BUENOS AIRES,MORON,1,1,0,0,0,0,0
060615800,BUENOS AIRES,MORON,0,1,0,0,0,0,0
060615900,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060616000,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060616100,BUENOS AIRES,MORON,0,0,0,0,0,0,0
060616200,BUENOS AIRES,MORON,1,1,0,0,0,0,0
060616300,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060616400,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060616500,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060616600,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060616900,BUENOS AIRES,MORON,0,0,0,1,0,0,0
060617000,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060617100,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060617200,BUENOS AIRES,ITUZAINGO,1,1,1,0,0,0,0
060617400,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060617500,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060617501,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060617502,BUENOS AIRES,BALCARCE,0,0,0,0,0,0,0
060617600,BUENOS AIRES,BALCARCE,1,1,0,0,0,0,0
060617700,BUENOS AIRES,ITUZAINGO,0,0,0,1,1,0,0
060617800,BUENOS AIRES,ITUZAINGO,0,0,0,1,1,0,0
060617900,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060618000,BUENOS AIRES,ITUZAINGO,0,1,1,0,0,0,0
060618100,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060618200,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060618300,BUENOS AIRES,MORENO,0,0,0,1,0,0,0
060618400,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060618500,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060618600,BUENOS AIRES,MORENO,0,0,1,0,0,0,0
060618800,BUENOS AIRES,TRENQUE LAUQUEN,0,0,1,0,0,0,0
060618900,BUENOS AIRES,TRENQUE LAUQUEN,0,0,1,0,0,0,0
060619000,BUENOS AIRES,TRENQUE LAUQUEN,0,1,0,0,0,0,0
060619200,BUENOS AIRES,TRENQUE LAUQUEN,0,0,1,0,0,0,0
060619300,BUENOS AIRES,BALCARCE,0,0,0,1,1,0,0
060619400,BUENOS AIRES,BALCARCE,0,1,1,0,0,0,0
060619500,BUENOS AIRES,TANDIL,0,0,0,1,0,0,0
060619501,BUENOS AIRES,TANDIL,0,0,0,1,0,0,0
060619600,BUENOS AIRES,TANDIL,0,0,1,0,0,0,0
060619700,BUENOS AIRES,TANDIL,0,0,0,1,1,0,0
060619800,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060619900,BUENOS AIRES,MORON,1,1,0,0,0,0,0
060620000,BUENOS AIRES,MORON,0,0,0,0,0,1,0
060620100,BUENOS AIRES,MORON,0,1,0,0,0,0,0
060620200,BUENOS AIRES,ITUZAINGO,0,1,0,0,0,0,0
060620300,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060620301,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060620400,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060620500,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060620600,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060620700,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060620800,BUENOS AIRES,ITUZAINGO,0,0,0,1,0,0,0
060620900,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060621000,BUENOS AIRES,ITUZAINGO,0,0,1,0,0,0,0
060621100,BUENOS AIRES,BALCARCE,0,0,0,1,0,0,0
060621200,BUENOS AIRES,BALCARCE,0,0,0,0,0,1,0
060621300,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621400,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621500,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621600,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621700,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621800,BUENOS AIRES,BALCARCE,0,0,1,0,0,0,0
060621900,BUENOS AIRES,LA PLATA,0,0,0,1,0,0,0
060622100,BUENOS AIRES,LA PLATA,0,0,1,0,0,0,0
060622200,BUENOS AIRES,LA PLATA,0,0,0,1,0,0,0
060622201,BUENOS AIRES,LA PLATA,0,0,0,1,0,0,0
060622400,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,1,1,0,0
060622500,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,0,0,0,0
060622700,BUENOS AIRES,LA PLATA,0,0,1,0,0,0,0
060622800,BUENOS AIRES,LEANDRO N. ALEM,0,0,0,1,0,0,0
060622900,BUENOS AIRES,LEANDRO N. ALEM,0,0,1,0,0,0,0
060623000,BUENOS AIRES,LEANDRO N. ALEM,0,0,1,0,0,0,0
060623100,BUENOS AIRES,LA PLATA,0,0,0,1,0,0,0
060623200,BUENOS AIRES,LA PLATA,0,0,1,0,0,0,0
060623300,BUENOS AIRES,LA PLATA,0,0,1,0,0,0,0
060623400,BUENOS AIRES,LA PLATA,0,0,0,0,0,1,0
060623500,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060623600,BUENOS AIRES,MORON,0,0,0,1,1,0,0
060623800,BUENOS AIRES,MORON,0,1,0,0,0,0,0
060623900,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060624000,BUENOS AIRES,MORON,0,0,1,0,0,0,0
060624200,BUENOS AIRES,LA PLATA,0,0,0,1,1,0,0
060624300,BUENOS AIRES,LA PLATA,0,0,0,1,0,0,0
060624400,BUENOS AIRES,LEANDRO N. ALEM,0,0,0,1,1,0,0
060624500,BUENOS AIRES,GENERAL PUEYRREDON,0,0,0,0,0,0,0
060624600,BUENOS AIRES,TRENQUE LAUQUEN,0,0,1,0,0,0,0
060624800,BUENOS AIRES,TRENQUE LAUQUEN,1,1,0,0,0,0,0
