Cueanexo,provincia,Departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET
020012100,CABA,COMUNA 1,0,0,1,0,0,0,0
020012300,CABA,COMUNA 14,1,1,1,1,0,0,0
020012301,CABA,COMUNA 14,0,0,0,1,0,0,0
020012400,CABA,COMUNA 13,0,0,0,0,0,0,0
020012500,CABA,COMUNA 14,0,0,1,0,0,0,0
020012600,CABA,COMUNA 13,1,1,1,1,0,0,0
020012700,CABA,COMUNA 14,1,1,1,1,0,0,0
020012800,CABA,COMUNA 14,0,0,1,0,0,0,0
020012900,CABA,COMUNA 13,0,0,0,1,1,0,0
020013000,CABA,COMUNA 15,0,0,1,0,0,0,0
020013500,CABA,COMUNA 4,0,0,1,0,0,0,0
020013600,CABA,COMUNA 12,0,0,1,0,0,0,0
020013800,CABA,COMUNA 12,0,1,1,1,0,0,0
020013900,CABA,COMUNA 7,0,0,1,0,0,0,0
020014000,CABA,COMUNA 11,0,0,1,0,0,0,0
020014100,CABA,COMUNA 7,0,0,1,0,0,0,0
020014200,CABA,COMUNA 11,1,1,1,1,0,0,0
020014300,CABA,COMUNA 11,0,0,0,1,0,0,0
020014400,CABA,COMUNA 11,1,1,0,0,0,0,0
020014500,CABA,COMUNA 11,0,0,0,1,0,1,0
020014600,CABA,COMUNA 1,0,1,1,0,0,0,0
020014700,CABA,COMUNA 9,0,0,0,0,0,0,0
020015000,CABA,COMUNA 4,1,1,1,1,0,0,0
020015200,CABA,COMUNA 15,0,0,0,1,0,0,0
020015300,CABA,COMUNA 8,0,0,1,0,0,0,0
020015400,CABA,COMUNA 4,0,0,1,0,0,0,0
020015500,CABA,COMUNA 7,1,1,0,0,0,0,0
020015700,CABA,COMUNA 7,1,1,1,0,0,0,0
020015800,CABA,COMUNA 5,1,1,0,0,0,0,0
020015801,CABA,COMUNA 6,0,1,0,0,0,0,0
020015900,CABA,COMUNA 15,0,0,0,1,0,0,0
020016000,CABA,COMUNA 15,0,0,1,0,0,0,0
020016100,CABA,COMUNA 11,0,0,1,0,0,0,0
020016200,CABA,COMUNA 11,0,0,0,0,0,0,0
020016300,CABA,COMUNA 11,0,0,0,1,0,0,0
020016500,CABA,COMUNA 7,0,0,1,0,0,0,0
020016600,CABA,COMUNA 11,0,0,1,0,0,0,0
020016700,CABA,COMUNA 11,0,0,1,0,0,0,0
020016800,CABA,COMUNA 11,0,1,1,0,0,0,0
020016900,CABA,COMUNA 7,0,0,1,0,0,0,0
020017000,CABA,COMUNA 7,1,1,0,0,0,0,0
020017400,CABA,COMUNA 3,0,1,1,1,0,0,0
020017500,CABA,COMUNA 14,0,0,0,0,0,1,1
020017700,CABA,COMUNA 10,0,1,0,0,0,0,0
020017701,CABA,COMUNA 10,0,1,0,0,0,0,0
020017702,CABA,COMUNA 10,0,1,0,0,0,0,0
020017800,CABA,COMUNA 10,1,1,1,1,0,0,0
020017900,CABA,COMUNA 11,0,0,0,0,0,0,0
020018100,CABA,COMUNA 11,0,0,1,0,0,0,0
020018400,CABA,COMUNA 9,0,0,1,0,0,0,0
020018500,CABA,COMUNA 9,0,0,1,0,0,0,0
020018600,CABA,COMUNA 9,0,0,1,0,0,0,0
020018700,CABA,COMUNA 9,0,1,0,0,0,0,0
020018701,CABA,COMUNA 9,0,1,0,0,0,0,0
020018702,CABA,COMUNA 9,0,1,0,0,0,0,0
020018800,CABA,COMUNA 14,0,1,0,0,0,0,0
020018900,CABA,COMUNA 14,0,0,1,0,0,0,0
020019000,CABA,COMUNA 14,1,1,1,1,0,0,0
020019200,CABA,COMUNA 7,0,0,0,1,1,0,0
020019300,CABA,COMUNA 10,0,0,1,0,0,0,0
020019400,CABA,COMUNA 7,0,1,1,0,0,0,0
020019600,CABA,COMUNA 10,0,0,1,0,0,0,0
020019700,CABA,COMUNA 1,0,0,0,0,0,0,0
020019800,CABA,COMUNA 11,1,1,1,1,0,0,0
020019900,CABA,COMUNA 11,0,1,1,1,0,0,0
020020000,CABA,COMUNA 15,0,0,0,0,0,0,0
020020100,CABA,COMUNA 14,1,1,1,1,0,0,0
020020200,CABA,COMUNA 15,0,0,1,0,0,0,0
