Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
LA RIOJA,INDEPENDENCIA,8.0,2318,10.0,3020,8.0,2776
LA RIOJA,SAN BLAS DE LOS SAUCES,6.0,345,7.0,501,4.0,422
LA RIOJA,CASTRO BARROS,6.0,409,7.0,626,3.0,511
LA RIOJA,VINCHINA,6.0,224,7.0,294,4.0,257
LA RIOJA,GENERAL LAMADRID,2.0,158,2.0,191,1.0,187
LA RIOJA,SANAGASTA,1.0,230,1.0,361,1.0,270
MENDOZA,SAN RAFAEL,162.0,17237,130.0,24756,54.0,19958
MENDOZA,GUAYMALLEN,109.0,25349,87.0,36996,47.0,29798
MENDOZA,MAIPU,85.0,861,69.0,1234,32.0,995
MENDOZA,MAIPU,85.0,18163,69.0,26442,32.0,21528
MENDOZA,MAIPU,85.0,2701,69.0,3468,32.0,2776
MENDOZA,GODOY CRUZ,92.0,13392,67.0,19838,33.0,16701
MENDOZA,CAPITAL,80.0,35160,62.0,47808,61.0,40759
MENDOZA,CAPITAL,80.0,14250,62.0,20132,61.0,17544
MENDOZA,CAPITAL,80.0,47812,62.0,72054,61.0,59245
MENDOZA,CAPITAL,80.0,26352,62.0,37231,61.0,30377
MENDOZA,SAN MARTIN,82.0,1512,62.0,1980,24.0,1694
MENDOZA,SAN MARTIN,82.0,11642,62.0,17257,24.0,13262
MENDOZA,CAPITAL,80.0,8283,62.0,11563,61.0,9394
MENDOZA,CAPITAL,80.0,15697,62.0,23293,61.0,20533
MENDOZA,CAPITAL,80.0,8258,62.0,12927,61.0,10902
MENDOZA,SAN MARTIN,82.0,1586,62.0,2165,24.0,1718
MENDOZA,CAPITAL,80.0,7849,62.0,10619,61.0,9248
MENDOZA,SAN MARTIN,82.0,1183,62.0,1602,24.0,1480
MENDOZA,CAPITAL,80.0,105777,62.0,149261,61.0,132716
MENDOZA,CAPITAL,80.0,33142,62.0,47460,61.0,37696
MENDOZA,CAPITAL,80.0,44089,62.0,60342,61.0,50598
MENDOZA,SAN MARTIN,82.0,5177,62.0,7148,24.0,5857
MENDOZA,LUJAN DE CUYO,66.0,13914,56.0,20822,25.0,17463
MENDOZA,LAS HERAS,81.0,19700,55.0,28992,28.0,23685
MENDOZA,LAVALLE,62.0,4526,46.0,6674,17.0,5019
MENDOZA,LAVALLE,62.0,4432,46.0,5545,17.0,4384
MENDOZA,GENERAL ALVEAR,56.0,758,43.0,1137,12.0,912
MENDOZA,GENERAL ALVEAR,56.0,4069,43.0,6260,12.0,4846
MENDOZA,GENERAL ALVEAR,56.0,873,43.0,1086,12.0,936
MENDOZA,RIVADAVIA,43.0,5048,31.0,6427,11.0,4929
MENDOZA,RIVADAVIA,43.0,5261,31.0,7683,11.0,6036
MENDOZA,RIVADAVIA,43.0,8399,31.0,11692,11.0,9610
MENDOZA,TUNUYAN,42.0,5158,31.0,7833,10.0,6153
MENDOZA,RIVADAVIA,43.0,1734,31.0,2317,11.0,1873
MENDOZA,RIVADAVIA,43.0,487,31.0,649,11.0,539
MENDOZA,SAN CARLOS,45.0,674,30.0,1102,12.0,812
MENDOZA,SAN CARLOS,45.0,3475,30.0,5109,12.0,4018
MENDOZA,JUNIN,40.0,2825,28.0,4272,11.0,3956
MENDOZA,JUNIN,40.0,7543,28.0,10433,11.0,8728
MENDOZA,JUNIN,40.0,3662,28.0,5299,11.0,4319
MENDOZA,TUPUNGATO,25.0,3810,22.0,5685,10.0,4481
MENDOZA,SANTA ROSA,34.0,1765,22.0,2509,4.0,1897
MENDOZA,SANTA ROSA,34.0,1154,22.0,1476,4.0,1361
MENDOZA,MALARGUE,29.0,2811,22.0,4345,12.0,3426
MENDOZA,LA PAZ,13.0,2352,11.0,3146,3.0,2844
MENDOZA,LA PAZ,13.0,6549,11.0,9094,3.0,7510
MENDOZA,LA PAZ,13.0,1018,11.0,1499,3.0,1108
MISIONES,GUARANI,93.0,8802,143.0,11433,61.0,8836
MISIONES,CAPITAL,152.0,44089,129.0,60342,86.0,50598
MISIONES,CAPITAL,152.0,8258,129.0,12927,86.0,10902
MISIONES,CAPITAL,152.0,15697,129.0,23293,86.0,20533
MISIONES,CAPITAL,152.0,33142,129.0,47460,86.0,37696
MISIONES,CAPITAL,152.0,35160,129.0,47808,86.0,40759
MISIONES,CAPITAL,152.0,26352,129.0,37231,86.0,30377
MISIONES,CAPITAL,152.0,47812,129.0,72054,86.0,59245
MISIONES,CAPITAL,152.0,7849,129.0,10619,86.0,9248
MISIONES,CAPITAL,152.0,105777,129.0,149261,86.0,132716
MISIONES,CAPITAL,152.0,14250,129.0,20132,86.0,17544
MISIONES,CAPITAL,152.0,8283,129.0,11563,86.0,9394
MISIONES,OBERA,101.0,11680,108.0,16152,67.0,12528
MISIONES,CAINGUAS,89.0,6425,99.0,8762,59.0,6766
MISIONES,GENERAL MANUEL BELGRANO,70.0,5458,87.0,6918,50.0,5169
MISIONES,IGUAZU,81.0,10641,80.0,14290,29.0,10929
MISIONES,SAN PEDRO,49.0,7205,79.0,10745,33.0,8540
MISIONES,SAN PEDRO,49.0,4462,79.0,5727,33.0,4161
MISIONES,SAN PEDRO,49.0,5781,79.0,8283,33.0,7113
MISIONES,SAN IGNACIO,71.0,6498,79.0,8670,43.0,6716
MISIONES,ELDORADO,63.0,8721,70.0,12100,29.0,9635
MISIONES,25 DE MAYO,45.0,2294,68.0,2998,35.0,2605
MISIONES,25 DE MAYO,45.0,3369,68.0,4288,35.0,3286
MISIONES,25 DE MAYO,45.0,1353,68.0,1877,35.0,1607
MISIONES,25 DE MAYO,45.0,3301,68.0,4543,35.0,3788
MISIONES,25 DE MAYO,45.0,2706,68.0,3733,35.0,3238
MISIONES,LEANDRO N. ALEM,58.0,1361,65.0,1838,39.0,1700
MISIONES,LEANDRO N. ALEM,58.0,4430,65.0,6082,39.0,4879
MISIONES,LIBERTADOR GENERAL SAN MARTIN,59.0,6514,63.0,8406,30.0,6903
MISIONES,LIBERTADOR GENERAL SAN MARTIN,59.0,327,63.0,445,30.0,444
MISIONES,LIBERTADOR GENERAL SAN MARTIN,59.0,5227,63.0,6927,30.0,5525
MISIONES,SAN JAVIER,34.0,2346,40.0,3294,10.0,2470
MISIONES,SAN JAVIER,34.0,4809,40.0,7043,10.0,5838
MISIONES,SAN JAVIER,34.0,3076,40.0,4011,10.0,3004
MISIONES,MONTECARLO,36.0,3674,39.0,5313,18.0,4258
MISIONES,APOSTOLES,34.0,5262,34.0,6783,18.0,5453
MISIONES,CANDELARIA,24.0,3758,30.0,4979,14.0,3937
MISIONES,CONCEPCION,14.0,2791,21.0,3721,4.0,3145
MISIONES,CONCEPCION,14.0,1087,21.0,1384,4.0,1152
NEUQUEN,CONFLUENCIA,159.0,34739,160.0,52500,86.0,42174
NEUQUEN,ZAPALA,28.0,3426,30.0,5480,7.0,4533
NEUQUEN,LACAR,25.0,2801,24.0,4460,9.0,3818
NEUQUEN,HUILICHES,20.0,1713,19.0,2530,6.0,1973
NEUQUEN,CHOS MALAL,10.0,1298,18.0,2162,4.0,1701
NEUQUEN,MINAS,9.0,737,17.0,1061,6.0,831
NEUQUEN,MINAS,9.0,371,17.0,499,6.0,454
NEUQUEN,PEHUENCHES,11.0,2678,17.0,4093,8.0,3242
NEUQUEN,ÑORQUIN,11.0,440,13.0,646,5.0,522
NEUQUEN,ALUMINE,12.0,878,13.0,1208,6.0,1021
NEUQUEN,CATAN LIL,10.0,220,12.0,368,1.0,258
NEUQUEN,LONCOPUE,6.0,675,11.0,927,2.0,729
NEUQUEN,PICUNCHES,9.0,721,10.0,1097,2.0,793
NEUQUEN,LOS LAGOS,9.0,1136,9.0,1861,6.0,1466
NEUQUEN,AÑELO,6.0,1908,9.0,2480,6.0,1881
NEUQUEN,PICUN LEUFU,5.0,391,7.0,631,2.0,445
NEUQUEN,COLLON CURA,6.0,360,7.0,535,1.0,461
RIO NEGRO,GENERAL ROCA,174.0,29296,165.0,43425,87.0,35515
RIO NEGRO,GENERAL ROCA,174.0,2905,165.0,3828,87.0,3338
RIO NEGRO,BARILOCHE,90.0,11266,71.0,17315,47.0,13885
RIO NEGRO,ADOLFO ALSINA,54.0,4517,35.0,7124,21.0,6046
RIO NEGRO,ADOLFO ALSINA,54.0,1292,35.0,1697,21.0,1437
RIO NEGRO,AVELLANEDA,24.0,3407,29.0,4940,14.0,4126
RIO NEGRO,AVELLANEDA,24.0,2758,29.0,3527,14.0,3231
RIO NEGRO,AVELLANEDA,24.0,22784,29.0,37082,14.0,32476
RIO NEGRO,SAN ANTONIO,18.0,539,15.0,820,8.0,617
RIO NEGRO,SAN ANTONIO,18.0,2730,15.0,4166,8.0,3416
RIO NEGRO,25 DE MAYO,13.0,1353,14.0,1877,9.0,1607
RIO NEGRO,25 DE MAYO,13.0,2706,14.0,3733,9.0,3238
RIO NEGRO,25 DE MAYO,13.0,3369,14.0,4288,9.0,3286
RIO NEGRO,25 DE MAYO,13.0,2294,14.0,2998,9.0,2605
RIO NEGRO,25 DE MAYO,13.0,3301,14.0,4543,9.0,3788
RIO NEGRO,PILCANIYEU,8.0,598,13.0,1107,5.0,821
RIO NEGRO,PICHI MAHUIDA,9.0,1344,10.0,1943,4.0,1439
RIO NEGRO,EL CUY,7.0,545,9.0,901,8.0,675
RIO NEGRO,CONESA,9.0,605,9.0,840,2.0,630
RIO NEGRO,ÑORQUINCO,7.0,113,9.0,141,3.0,127
RIO NEGRO,VALCHETA,6.0,337,8.0,457,4.0,367
RIO NEGRO,9 DE JULIO,9.0,2720,7.0,3636,6.0,3285
RIO NEGRO,9 DE JULIO,9.0,2987,7.0,3572,6.0,3053
RIO NEGRO,9 DE JULIO,9.0,274,7.0,408,6.0,321
RIO NEGRO,9 DE JULIO,9.0,1295,7.0,1704,6.0,1390
RIO NEGRO,9 DE JULIO,9.0,3963,7.0,5830,6.0,4999
SALTA,CAPITAL,200.0,47812,157.0,72054,127.0,59245
SALTA,CAPITAL,200.0,44089,157.0,60342,127.0,50598
SALTA,CAPITAL,200.0,14250,157.0,20132,127.0,17544
SALTA,CAPITAL,200.0,105777,157.0,149261,127.0,132716
SALTA,CAPITAL,200.0,26352,157.0,37231,127.0,30377
SALTA,CAPITAL,200.0,8283,157.0,11563,127.0,9394
SALTA,CAPITAL,200.0,33142,157.0,47460,127.0,37696
SALTA,CAPITAL,200.0,35160,157.0,47808,127.0,40759
SALTA,CAPITAL,200.0,7849,157.0,10619,127.0,9248
SALTA,CAPITAL,200.0,8258,157.0,12927,127.0,10902
SALTA,CAPITAL,200.0,15697,157.0,23293,127.0,20533
SALTA,GENERAL JOSE DE SAN MARTIN,107.0,19509,108.0,25874,44.0,20452
SALTA,RIVADAVIA,100.0,8399,104.0,11692,16.0,9610
SALTA,RIVADAVIA,100.0,1734,104.0,2317,16.0,1873
SALTA,RIVADAVIA,100.0,487,104.0,649,16.0,539
SALTA,RIVADAVIA,100.0,5261,104.0,7683,16.0,6036
SALTA,RIVADAVIA,100.0,5048,104.0,6427,16.0,4929
SALTA,ORAN,79.0,16651,66.0,22746,27.0,18047
SALTA,ANTA,57.0,7052,57.0,9429,22.0,7601
SALTA,SANTA VICTORIA,38.0,909,45.0,1436,7.0,1218
SALTA,ROSARIO DE LA FRONTERA,35.0,2966,33.0,4146,10.0,3302
SALTA,ROSARIO DE LERMA,32.0,4735,33.0,6604,10.0,5208
SALTA,GENERAL GUEMES,32.0,4858,27.0,6917,12.0,5526
SALTA,METAN,30.0,4326,27.0,5695,14.0,4488
SALTA,GENERAL GUEMES,32.0,6921,27.0,9486,12.0,7565
SALTA,IRUYA,24.0,676,26.0,930,6.0,785
SALTA,SAN CARLOS,21.0,3475,21.0,5109,5.0,4018
SALTA,SAN CARLOS,21.0,674,21.0,1102,5.0,812
SALTA,CERRILLOS,23.0,5342,18.0,8047,9.0,6079
SALTA,CHICOANA,19.0,2069,18.0,3014,6.0,2568
SALTA,CACHI,16.0,832,16.0,1236,5.0,883
SALTA,MOLINOS,14.0,516,14.0,837,6.0,706
SALTA,GUACHIPAS,7.0,314,10.0,403,2.0,332
SALTA,CAFAYATE,11.0,1430,10.0,2378,6.0,1887
SALTA,LA VIÑA,8.0,760,9.0,1108,3.0,909
SALTA,LA CALDERA,14.0,966,9.0,1430,3.0,1076
SALTA,LA POMA,8.0,167,8.0,260,2.0,234
SALTA,LOS ANDES,9.0,875,8.0,1130,4.0,923
SALTA,LA CANDELARIA,6.0,596,7.0,904,3.0,755
SAN JUAN,CAPITAL,62.0,15697,59.0,23293,50.0,20533
SAN JUAN,CAPITAL,62.0,14250,59.0,20132,50.0,17544
SAN JUAN,CAPITAL,62.0,26352,59.0,37231,50.0,30377
SAN JUAN,CAPITAL,62.0,8283,59.0,11563,50.0,9394
SAN JUAN,CAPITAL,62.0,33142,59.0,47460,50.0,37696
SAN JUAN,CAPITAL,62.0,44089,59.0,60342,50.0,50598
SAN JUAN,CAPITAL,62.0,8258,59.0,12927,50.0,10902
SAN JUAN,CAPITAL,62.0,105777,59.0,149261,50.0,132716
SAN JUAN,CAPITAL,62.0,7849,59.0,10619,50.0,9248
SAN JUAN,CAPITAL,62.0,47812,59.0,72054,50.0,59245
SAN JUAN,CAPITAL,62.0,35160,59.0,47808,50.0,40759
SAN JUAN,RAWSON,37.0,11959,49.0,16891,24.0,14120
SAN JUAN,RAWSON,37.0,10491,49.0,15641,24.0,13427
SAN JUAN,RIVADAVIA,35.0,1734,35.0,2317,17.0,1873
SAN JUAN,RIVADAVIA,35.0,5261,35.0,7683,17.0,6036
SAN JUAN,RIVADAVIA,35.0,5048,35.0,6427,17.0,4929
SAN JUAN,RIVADAVIA,35.0,8399,35.0,11692,17.0,9610
SAN JUAN,RIVADAVIA,35.0,487,35.0,649,17.0,539
SAN JUAN,JACHAL,32.0,2155,34.0,2781,27.0,2398
SAN JUAN,POCITO,26.0,7282,27.0,10435,14.0,8555
SAN JUAN,SARMIENTO,23.0,1344,26.0,1995,20.0,1510
SAN JUAN,SARMIENTO,23.0,2876,26.0,3853,20.0,3304
SAN JUAN,CHIMBAS,21.0,9879,26.0,13494,19.0,11469
SAN JUAN,SARMIENTO,23.0,533,26.0,722,20.0,624
SAN JUAN,CAUCETE,23.0,4319,26.0,5636,20.0,5029
SAN JUAN,25 DE MAYO,22.0,1353,22.0,1877,17.0,1607
SAN JUAN,25 DE MAYO,22.0,3301,22.0,4543,17.0,3788
SAN JUAN,25 DE MAYO,22.0,2706,22.0,3733,17.0,3238
SAN JUAN,25 DE MAYO,22.0,3369,22.0,4288,17.0,3286
SAN JUAN,25 DE MAYO,22.0,2294,22.0,2998,17.0,2605
SAN JUAN,VALLE FERTIL,19.0,772,21.0,963,20.0,801
SAN JUAN,SANTA LUCIA,16.0,5620,18.0,7756,9.0,6279
SAN JUAN,CALINGASTA,16.0,1104,17.0,1476,14.0,1116
SAN JUAN,IGLESIA,11.0,819,14.0,1084,11.0,908
SAN JUAN,ALBARDON,13.0,2958,13.0,4253,8.0,3543
SAN JUAN,SAN MARTIN,12.0,11642,12.0,17257,5.0,13262
SAN JUAN,SAN MARTIN,12.0,5177,12.0,7148,5.0,5857
SAN JUAN,SAN MARTIN,12.0,1183,12.0,1602,5.0,1480
SAN JUAN,SAN MARTIN,12.0,1512,12.0,1980,5.0,1694
SAN JUAN,ANGACO,12.0,969,12.0,1380,8.0,1164
SAN JUAN,SAN MARTIN,12.0,1586,12.0,2165,5.0,1718
SAN JUAN,9 DE JULIO,5.0,2720,5.0,3636,2.0,3285
SAN JUAN,9 DE JULIO,5.0,3963,5.0,5830,2.0,4999
SAN JUAN,9 DE JULIO,5.0,274,5.0,408,2.0,321
SAN JUAN,9 DE JULIO,5.0,2987,5.0,3572,2.0,3053
SAN JUAN,9 DE JULIO,5.0,1295,5.0,1704,2.0,1390
SAN JUAN,ZONDA,2.0,679,2.0,881,2.0,729
SAN JUAN,ULLUM,2.0,614,2.0,864,1.0,704
SAN LUIS,GENERAL JUAN MARTIN DE PUEYRREDON,107.0,19681,110.0,28921,109.0,27055
SAN LUIS,GENERAL PEDERNERA,63.0,11922,69.0,17217,67.0,15346
SAN LUIS,AYACUCHO,15.0,1699,44.0,2442,37.0,2150
SAN LUIS,AYACUCHO,15.0,2003,44.0,2770,37.0,2471
SAN LUIS,JUNIN,21.0,7543,31.0,10433,37.0,8728
SAN LUIS,JUNIN,21.0,2825,31.0,4272,37.0,3956
SAN LUIS,JUNIN,21.0,3662,31.0,5299,37.0,4319
SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,10.0,5227,27.0,6927,34.0,5525
SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,10.0,6514,27.0,8406,34.0,6903
SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,10.0,327,27.0,445,34.0,444
SAN LUIS,CHACABUCO,14.0,3518,25.0,5344,25.0,4811
SAN LUIS,CHACABUCO,14.0,3114,25.0,4114,25.0,3194
SAN LUIS,BELGRANO,7.0,1033,25.0,1293,26.0,1074
SAN LUIS,CHACABUCO,14.0,1946,25.0,2742,25.0,2612
SAN LUIS,BELGRANO,7.0,444,25.0,651,26.0,545
SAN LUIS,BELGRANO,7.0,3597,25.0,4903,26.0,4293
SAN LUIS,CORONEL PRINGLES,12.0,1180,23.0,1710,27.0,1641
SAN LUIS,CORONEL PRINGLES,12.0,1890,23.0,2791,27.0,2166
SAN LUIS,GOBERNADOR DUPUY,13.0,1283,14.0,1708,17.0,1593
SANTA CRUZ,GUER AIKE,40.0,10573,46.0,16392,34.0,13731
SANTA CRUZ,DESEADO,37.0,10716,45.0,16156,30.0,13468
SANTA CRUZ,LAGO ARGENTINO,8.0,2180,9.0,3312,7.0,2596
SANTA CRUZ,CORPEN AIKE,5.0,1456,6.0,1949,6.0,1497
SANTA CRUZ,LAGO BUENOS AIRES,4.0,1298,5.0,1616,4.0,1174
SANTA CRUZ,RIO CHICO,3.0,585,4.0,874,3.0,653
SANTA CRUZ,RIO CHICO,3.0,5525,4.0,7740,3.0,6483
SANTA CRUZ,MAGALLANES,5.0,1110,3.0,1739,3.0,1324
SANTA FE,ROSARIO,374.0,97904,342.0,136909,256.0,111326
SANTA FE,LA CAPITAL,215.0,42937,175.0,60178,128.0,51318
SANTA FE,GENERAL OBLIGADO,131.0,17202,155.0,22397,67.0,19095
SANTA FE,CASTELLANOS,135.0,15092,124.0,20593,54.0,17437
SANTA FE,SAN CRISTOBAL,111.0,5906,112.0,8274,45.0,6990
SANTA FE,LAS COLONIAS,110.0,8519,107.0,11728,43.0,10201
SANTA FE,GENERAL LOPEZ,104.0,14884,104.0,20764,60.0,17525
SANTA FE,VERA,87.0,4985,92.0,6546,29.0,5536
SANTA FE,9 DE JULIO,61.0,1295,77.0,1704,16.0,1390
SANTA FE,9 DE JULIO,61.0,2987,77.0,3572,16.0,3053
SANTA FE,9 DE JULIO,61.0,2720,77.0,3636,16.0,3285
SANTA FE,9 DE JULIO,61.0,3963,77.0,5830,16.0,4999
SANTA FE,9 DE JULIO,61.0,274,77.0,408,16.0,321
SANTA FE,SAN JERONIMO,57.0,6707,64.0,9086,27.0,7615
SANTA FE,SAN LORENZO,53.0,1707,58.0,2119,42.0,1694
SANTA FE,SAN LORENZO,53.0,16356,58.0,22850,42.0,17689
SANTA FE,SAN MARTIN,48.0,1183,53.0,1602,22.0,1480
SANTA FE,SAN MARTIN,48.0,1512,53.0,1980,22.0,1694
SANTA FE,SAN MARTIN,48.0,11642,53.0,17257,22.0,13262
SANTA FE,SAN MARTIN,48.0,1586,53.0,2165,22.0,1718
SANTA FE,SAN MARTIN,48.0,5177,53.0,7148,22.0,5857
SANTA FE,SAN JUSTO,45.0,3766,50.0,5112,18.0,4294
SANTA FE,IRIONDO,41.0,5742,50.0,7768,24.0,6189
SANTA FE,SAN JUSTO,45.0,17737,50.0,24255,18.0,21387
SANTA FE,CONSTITUCION,43.0,6793,45.0,9370,32.0,8501
SANTA FE,SAN JAVIER,35.0,3076,40.0,4011,14.0,3004
SANTA FE,SAN JAVIER,35.0,4809,40.0,7043,14.0,5838
SANTA FE,SAN JAVIER,35.0,2346,40.0,3294,14.0,2470
SANTA FE,CASEROS,33.0,5966,37.0,8294,30.0,7108
SANTA FE,BELGRANO,19.0,3597,28.0,4903,15.0,4293
SANTA FE,BELGRANO,19.0,1033,28.0,1293,15.0,1074
SANTA FE,BELGRANO,19.0,444,28.0,651,15.0,545
SANTA FE,GARAY,20.0,2349,22.0,2920,8.0,2238
SANTIAGO DEL ESTERO,CAPITAL,150.0,8283,113.0,11563,98.0,9394
SANTIAGO DEL ESTERO,CAPITAL,150.0,14250,113.0,20132,98.0,17544
SANTIAGO DEL ESTERO,CAPITAL,150.0,26352,113.0,37231,98.0,30377
SANTIAGO DEL ESTERO,CAPITAL,150.0,15697,113.0,23293,98.0,20533
SANTIAGO DEL ESTERO,CAPITAL,150.0,35160,113.0,47808,98.0,40759
SANTIAGO DEL ESTERO,CAPITAL,150.0,8258,113.0,12927,98.0,10902
SANTIAGO DEL ESTERO,CAPITAL,150.0,44089,113.0,60342,98.0,50598
SANTIAGO DEL ESTERO,CAPITAL,150.0,7849,113.0,10619,98.0,9248
SANTIAGO DEL ESTERO,CAPITAL,150.0,47812,113.0,72054,98.0,59245
SANTIAGO DEL ESTERO,CAPITAL,150.0,105777,113.0,149261,98.0,132716
SANTIAGO DEL ESTERO,CAPITAL,150.0,33142,113.0,47460,98.0,37696
SANTIAGO DEL ESTERO,BANDA,121.0,16118,105.0,21600,66.0,17110
SANTIAGO DEL ESTERO,COPO,33.0,3908,79.0,4966,20.0,4367
SANTIAGO DEL ESTERO,MORENO,46.0,50791,72.0,76357,26.0,60359
SANTIAGO DEL ESTERO,PELLEGRINI,51.0,662,72.0,831,40.0,610
SANTIAGO DEL ESTERO,PELLEGRINI,51.0,2632,72.0,3634,40.0,2937
SANTIAGO DEL ESTERO,MORENO,46.0,4608,72.0,5635,26.0,5178
SANTIAGO DEL ESTERO,FIGUEROA,54.0,2127,70.0,2803,34.0,2471
SANTIAGO DEL ESTERO,RIO HONDO,69.0,6377,68.0,8569,47.0,6856
SANTIAGO DEL ESTERO,ALBERDI,36.0,2298,58.0,2854,22.0,2369
SANTIAGO DEL ESTERO,GENERAL TABOADA,44.0,4772,52.0,6042,14.0,5394
SANTIAGO DEL ESTERO,AVELLANEDA,30.0,3407,52.0,4940,26.0,4126
SANTIAGO DEL ESTERO,AVELLANEDA,30.0,22784,52.0,37082,26.0,32476
SANTIAGO DEL ESTERO,AVELLANEDA,30.0,2758,52.0,3527,26.0,3231
SANTIAGO DEL ESTERO,JUAN F IBARRA,31.0,2152,49.0,3004,18.0,2585
SANTIAGO DEL ESTERO,CHOYA,40.0,3746,48.0,5276,32.0,4520
SANTIAGO DEL ESTERO,LORETO,53.0,2243,47.0,3051,30.0,2561
SANTIAGO DEL ESTERO,OJO DE AGUA,29.0,1392,45.0,1714,10.0,1633
SANTIAGO DEL ESTERO,QUEBRACHOS,27.0,1286,43.0,1585,15.0,1324
SANTIAGO DEL ESTERO,JIMENEZ,27.0,1847,39.0,2376,32.0,2055
SANTIAGO DEL ESTERO,SALAVINA,28.0,1294,38.0,1746,20.0,1654
SANTIAGO DEL ESTERO,ROBLES,46.0,5435,38.0,7173,24.0,5982
SANTIAGO DEL ESTERO,SAN MARTIN,27.0,1586,36.0,2165,20.0,1718
SANTIAGO DEL ESTERO,SAN MARTIN,27.0,1183,36.0,1602,20.0,1480
SANTIAGO DEL ESTERO,SAN MARTIN,27.0,5177,36.0,7148,20.0,5857
SANTIAGO DEL ESTERO,SAN MARTIN,27.0,1512,36.0,1980,20.0,1694
SANTIAGO DEL ESTERO,SAN MARTIN,27.0,11642,36.0,17257,20.0,13262
SANTIAGO DEL ESTERO,ATAMISQUI,26.0,1520,26.0,2168,13.0,1880
SANTIAGO DEL ESTERO,GUASAYAN,18.0,900,23.0,1095,15.0,941
SANTIAGO DEL ESTERO,SARMIENTO,10.0,533,17.0,722,8.0,624
SANTIAGO DEL ESTERO,SARMIENTO,10.0,2876,17.0,3853,8.0,3304
SANTIAGO DEL ESTERO,SARMIENTO,10.0,1344,17.0,1995,8.0,1510
SANTIAGO DEL ESTERO,SILIPICA,14.0,861,16.0,1173,14.0,1076
SANTIAGO DEL ESTERO,RIVADAVIA,12.0,5261,16.0,7683,4.0,6036
SANTIAGO DEL ESTERO,RIVADAVIA,12.0,8399,16.0,11692,4.0,9610
SANTIAGO DEL ESTERO,RIVADAVIA,12.0,1734,16.0,2317,4.0,1873
SANTIAGO DEL ESTERO,RIVADAVIA,12.0,5048,16.0,6427,4.0,4929
SANTIAGO DEL ESTERO,RIVADAVIA,12.0,487,16.0,649,4.0,539
SANTIAGO DEL ESTERO,AGUIRRE,10.0,804,13.0,1064,5.0,941
SANTIAGO DEL ESTERO,BELGRANO,7.0,1033,12.0,1293,5.0,1074
SANTIAGO DEL ESTERO,BELGRANO,7.0,3597,12.0,4903,5.0,4293
SANTIAGO DEL ESTERO,BELGRANO,7.0,444,12.0,651,5.0,545
SANTIAGO DEL ESTERO,MITRE,5.0,112,10.0,143,4.0,160
TIERRA DEL FUEGO,TOLHUIN,0.0,581,0.0,832,0.0,662
TUCUMAN,CAPITAL,234.0,47812,138.0,72054,146.0,59245
TUCUMAN,CAPITAL,234.0,44089,138.0,60342,146.0,50598
TUCUMAN,CAPITAL,234.0,35160,138.0,47808,146.0,40759
TUCUMAN,CAPITAL,234.0,105777,138.0,149261,146.0,132716
TUCUMAN,CAPITAL,234.0,14250,138.0,20132,146.0,17544
TUCUMAN,CAPITAL,234.0,7849,138.0,10619,146.0,9248
TUCUMAN,CAPITAL,234.0,8283,138.0,11563,146.0,9394
TUCUMAN,CAPITAL,234.0,26352,138.0,37231,146.0,30377
TUCUMAN,CAPITAL,234.0,8258,138.0,12927,146.0,10902
TUCUMAN,CAPITAL,234.0,33142,138.0,47460,146.0,37696
TUCUMAN,CAPITAL,234.0,15697,138.0,23293,146.0,20533
TUCUMAN,CRUZ ALTA,94.0,21071,76.0,29374,53.0,23883
TUCUMAN,LEALES,73.0,5678,73.0,7892,51.0,6716
TUCUMAN,BURRUYACU,57.0,4330,57.0,6034,44.0,4942
TUCUMAN,SIMOCA,52.0,3132,52.0,4427,33.0,3591
TUCUMAN,TAFI VIEJO,61.0,15052,49.0,21744,39.0,17829
TUCUMAN,CHICLIGASTA,47.0,7651,41.0,10719,30.0,8977
TUCUMAN,MONTEROS,43.0,6523,40.0,9280,25.0,7910
TUCUMAN,LULES,40.0,8542,32.0,12694,23.0,9951
TUCUMAN,YERBA BUENA,37.0,8420,32.0,11860,29.0,10036
TUCUMAN,GRANEROS,30.0,1434,30.0,1880,24.0,1613
TUCUMAN,RIO CHICO,30.0,585,30.0,874,26.0,653
TUCUMAN,RIO CHICO,30.0,5525,30.0,7740,26.0,6483
TUCUMAN,TRANCAS,25.0,2185,25.0,2854,18.0,2478
TUCUMAN,TAFI DEL VALLE,25.0,1828,24.0,2606,12.0,2135
TUCUMAN,FAMAILLA,25.0,4239,23.0,5489,16.0,4607
TUCUMAN,JUAN B ALBERDI,19.0,2908,19.0,4124,13.0,3462
TUCUMAN,LA COCHA,17.0,1894,18.0,2557,13.0,2282
